csv
Country,Region,DTP3_coverage,Gap,PrimaryBarrier,Priority,NextStepURL
Nigeria,Africa,57,27,"Cold Chain",High,https://example.org/nigeria-petition
Ethiopia,Africa,61,23,"Access to Healthcare",High,https://example.org/ethiopia-petition
Pakistan,Asia,65,19,"Conflict Zones",High,https://example.org/pakistan-petition
India,Asia,85,5,"Rural Access",Medium,https://example.org/india-petition
Indonesia,Asia,79,11,"Geographic Isolation",Medium,https://example.org/indonesia-petition
Brazil,South America,81,9,"Misinformation",Medium,https://example.org/brazil-petition
Mexico,North America,88,2,"Supply Chain",Low,https://example.org/mexico-petition
United States,North America,92,0,"Vaccine Hesitancy",Low,https://example.org/usa-petition
France,Europe,96,0,"None",Low,https://example.org/france-resources
South Africa,Africa,72,12,"Healthcare Infrastructure",Medium,https://example.org/southafrica-petition
Egypt,Africa,94,0,"None",Low,https://example.org/egypt-resources
China,Asia,97,0,"None",Low,https://example.org/china-resources
Russia,Europe,96,0,"None",Low,https://example.org/russia-resources
Tanzania,Africa,89,1,"Supply Chain",Low,https://example.org/tanzania-resources
Bangladesh,Asia,94,0,"None",Low,https://example.org/bangladesh-resources
Democratic Republic of the Congo,Africa,59,25,"Conflict Zones",High,https://example.org/drc-petition
Afghanistan,Asia,66,18,"Conflict Zones",High,https://example.org/afghanistan-petition
United Kingdom,Europe,93,0,"Vaccine Hesitancy",Low,https://example.org/uk-resources
Germany,Europe,95,0,"None",Low,https://example.org/germany-resources
Japan,Asia,98,0,"None",Low,https://example.org/japan-resources
